,ORDER_DAY,NUM_ORDERS,COMPARABLE_TOTAL_COST,PARENT_TOTAL_COST_
0,2021-12-31,40,953.13,947.24
1,2022-01-01,552,15074.380000000003,14835.27
2,2022-01-02,741,22241.160000000007,21746.409999999996
3,2022-01-03,674,18043.120000000006,17686.19
4,2022-01-04,618,17872.999999999996,17496.46
5,2022-01-05,647,17964.240000000005,17607.839999999997
6,2022-01-06,640,17506.850000000002,17044.870000000006
7,2022-01-07,720,22519.239999999998,22201.449999999997
8,2022-01-08,729,22944.279999999995,22530.719999999998
9,2022-01-09,864,25423.44,25002.089999999993
10,2022-01-10,596,17890.18000000001,17695.249999999996
11,2022-01-11,571,15683.380000000003,15488.209999999997
12,2022-01-12,588,17668.300000000003,17392.53
13,2022-01-13,649,18862.640000000003,18623.859999999997
14,2022-01-14,669,20722.05,20251.690000000002
15,2022-01-15,768,24294.93,23832.159999999993
16,2022-01-16,816,24828.02,24405.149999999998
17,2022-01-17,840,23981.640000000003,23742.019999999997
18,2022-01-18,785,23631.379999999994,23425.84999999999
19,2022-01-19,680,19483.220000000005,19169.979999999996
20,2022-01-20,689,20090.38,19743.51
21,2022-01-21,763,22262.9,21840.850000000002
22,2022-01-22,768,23731.690000000002,23453.00999999999
23,2022-01-23,977,29030.769999999993,28370.44
24,2022-01-24,613,17831.170000000006,17427.9
25,2022-01-25,620,17771.739999999998,17349.010000000002
26,2022-01-26,606,17645.08,17283.049999999996
27,2022-01-27,651,20704.19,20267.18
28,2022-01-28,717,21814.960000000003,21230.630000000005
29,2022-01-29,878,27687.959999999992,27131.02
30,2022-01-30,723,21091.660000000003,20658.110000000004
31,2022-01-31,674,21358.44000000001,21068.96
32,2022-02-01,953,29869.399999999998,29255.920000000002
33,2022-02-02,883,22246.09,21771.220000000005
34,2022-02-03,198,4885.749999999999,4815.720000000002
35,2022-02-04,368,9621.86,9402.869999999997
36,2022-02-05,622,18696.64,18252.37
37,2022-02-06,698,21191.739999999994,20485.82999999999
38,2022-02-07,518,13749.45,13313.759999999997
39,2022-02-08,521,15128.02,14782.21
40,2022-02-09,496,14695.470000000003,14307.119999999999
41,2022-02-10,522,16115.050000000003,15654.870000000004
42,2022-02-11,521,16175.29,15726.489999999998
43,2022-02-12,644,18628.25,18397.91
44,2022-02-13,448,11188.770000000004,10862.430000000002
45,2022-02-14,470,12778.220000000003,12495.11
46,2022-02-15,493,14642.619999999997,14323.299999999992
47,2022-02-16,464,15318.559999999998,14860.470000000001
48,2022-02-17,496,14253.517500000004,13881.997500000001
49,2022-02-18,550,18029.37,17541.629999999997
50,2022-02-19,534,17067.850000000002,16826.289999999997
51,2022-02-20,592,19385.66,18967.940000000002
52,2022-02-21,558,16704.18,16361.849999999997
53,2022-02-22,443,13286.24,13021.88
54,2022-02-23,462,13776.589999999997,13509.150000000005
55,2022-02-24,490,15475.329999999998,15239.770000000002
56,2022-02-25,518,16440.68,16161.62
57,2022-02-26,520,16918.250000000004,16658.199999999997
58,2022-02-27,689,21254.24,20883.130000000005
59,2022-02-28,499,15040.2443,14650.402299999994
60,2022-03-01,444,12627.78,12342.580000000002
61,2022-03-02,398,11626.29,11368.05
62,2022-03-03,491,14826.329999999998,14526.909999999998
63,2022-03-04,480,14281.610000000004,14056.170000000002
64,2022-03-05,484,14799.639999999998,14375.869999999999
65,2022-03-06,687,22175.75,21751.320000000003
66,2022-03-07,503,16312.9225,15925.422499999997
67,2022-03-08,514,14308.499999999996,14013.329999999998
68,2022-03-09,444,12913.189999999999,12745.309999999998
69,2022-03-10,474,15285.580000000002,15078.849999999997
70,2022-03-11,510,15967.29,15801.450000000003
71,2022-03-12,586,18550.519999999997,18332.81
72,2022-03-13,645,21149.279999999995,20826.599999999995
73,2022-03-14,465,13837.67,13541.269999999999
74,2022-03-15,463,13825.659999999998,13655.989999999996
75,2022-03-16,512,15075.18,14854.690000000002
76,2022-03-17,465,13103.949999999999,12896.079999999998
77,2022-03-18,538,15574.73,15332.98
78,2022-03-19,585,18565.9,18253.879999999997
79,2022-03-20,684,21943.220000000005,21524.789999999994
80,2022-03-21,505,14485.310000000001,14261.69
81,2022-03-22,453,11663.56,11535.269999999999
82,2022-03-23,443,12679.679999999995,12460.670000000007
83,2022-03-24,466,14390.720000000001,14214.600000000004
84,2022-03-25,485,15131.97,14861.689999999999
85,2022-03-26,550,17078.479999999996,16765.449999999993
86,2022-03-27,735,24633.98,24171.730000000003
87,2022-03-28,536,15690.39,15372.740000000003
88,2022-03-29,464,14081.740000000003,13839.929999999998
89,2022-03-30,460,14532.759999999998,14221.959999999997
90,2022-03-31,541,16309.649999999998,15957.449999999999
91,2022-04-01,573,18258.160000000003,17843.16
92,2022-04-02,543,16529.729999999996,16085.760000000004
93,2022-04-03,776,26025.840000000004,25429.180000000004
94,2022-04-04,555,16288.63,15956.610000000004
95,2022-04-05,474,14228.94,13956.670000000002
96,2022-04-06,454,14146.640000000001,13797.190000000004
97,2022-04-07,434,12871.129999999997,12543.360000000004
98,2022-04-08,478,14302.480000000005,13971.49
99,2022-04-09,516,16388.129999999997,16024.050000000003
100,2022-04-10,620,20325.390000000003,19798.500000000004
101,2022-04-11,529,17114.37,16717.680000000004
102,2022-04-12,399,11575.560000000001,11277.530000000002
103,2022-04-13,463,12874.439999999997,12667.920000000002
104,2022-04-14,487,13850.180000000004,13532.960000000006
105,2022-04-15,564,16479.969999999998,16158.599999999999
106,2022-04-16,610,16706.91,16269.210000000003
107,2022-04-17,326,8363.040000000003,8228.400000000001
108,2022-04-18,558,15657.66,15323.240000000003
109,2022-04-19,467,15026.490000000003,14601.120000000003
110,2022-04-20,445,12988.19,12774.840000000002
111,2022-04-21,461,14358.400000000003,13929.71
112,2022-04-22,439,14214.27,13989.649999999998
113,2022-04-23,464,14504.96,14200.47
114,2022-04-24,674,22762.03,22358.600000000002
115,2022-04-25,536,16556.809999999994,16252.869999999999
116,2022-04-26,463,13466.24,13218.310000000003
117,2022-04-27,435,13983.949999999999,13692.939999999997
118,2022-04-28,497,15087.730000000001,14925.430000000002
119,2022-04-29,535,18131.81,17903.800000000003
120,2022-04-30,499,16144.56,15936.960000000001
121,2022-05-01,679,23283.11,22985.16
122,2022-05-02,538,17003.72,16779.13
123,2022-05-03,505,16706.370000000003,16562.61
124,2022-05-04,488,16090.720000000001,15992.059999999998
125,2022-05-05,475,15099.460000000001,14867.689999999997
126,2022-05-06,481,14094.229999999996,13938.139999999998
127,2022-05-07,565,16610.27,16463.11
128,2022-05-08,482,14000.24,13751.46
129,2022-05-09,493,14555.640000000003,14373.030000000004
130,2022-05-10,475,14262.959999999994,14023.089999999998
131,2022-05-11,425,13277.999999999998,13115.499999999998
132,2022-05-12,496,17178.109999999997,16905.690000000002
133,2022-05-13,527,16551.120000000003,16373.690000000002
134,2022-05-14,509,15540.330000000004,15445.02
135,2022-05-15,669,21628.82,21387.91
136,2022-05-16,519,15787.969999999998,15660.179999999997
137,2022-05-17,431,11859.810000000001,11778.310000000003
138,2022-05-18,439,12769.56,12607.02
139,2022-05-19,422,14284.989999999998,14209.04
140,2022-05-20,475,15063.290000000006,14873.979999999996
141,2022-05-21,419,13166.439999999999,13025.969999999994
142,2022-05-22,711,23779.81,23647.249999999996
143,2022-05-23,524,16933.460000000003,16786.87
144,2022-05-24,404,12854.83,12837.95
145,2022-05-25,492,14843.569999999996,14766.670000000006
146,2022-05-26,507,15666.849999999997,15639.04
147,2022-05-27,581,19569.269999999997,19613.169999999995
148,2022-05-28,535,15724.89,15691.609999999999
149,2022-05-29,510,15965.929999999998,15922.519999999995
150,2022-05-30,474,14569.519999999997,14418.61
151,2022-05-31,487,14630.429999999997,14614.290000000005
152,2022-06-01,470,14303.210000000003,14177.41
153,2022-06-02,468,15111.180000000004,14988.730000000001
154,2022-06-03,473,14896.709999999997,14820.54
155,2022-06-04,464,14830.63,14631.12
156,2022-06-05,589,16979.38,16754.57
157,2022-06-06,440,13834.96,13622.250000000005
158,2022-06-07,456,14489.079999999996,14236.69
159,2022-06-08,457,13093.780000000002,13016.099999999999
160,2022-06-09,407,12085.97,11936.369999999997
161,2022-06-10,369,12415.78,12341.49
162,2022-06-11,438,13324.220000000001,13145.539999999999
163,2022-06-12,591,18167.659999999996,17925.179999999997
164,2022-06-13,469,14661.562499999996,14447.032500000001
165,2022-06-14,453,14050.764700000002,13802.946699999995
166,2022-06-15,464,14546.65,14316.870000000004
167,2022-06-16,461,13369.33,13195.479999999996
168,2022-06-17,497,15881.049999999997,15639.319999999998
169,2022-06-18,464,12927.649999999998,12815.070000000002
170,2022-06-19,509,14264.918699999997,14103.9107
171,2022-06-20,417,12932.200000000004,12836.66
172,2022-06-21,406,12271.109999999999,12261.71
173,2022-06-22,401,12505.669999999998,12351.929999999998
174,2022-06-23,440,12908.11,12762.53
175,2022-06-24,448,13565.270000000002,13397.879999999996
176,2022-06-25,422,12170.890000000001,12060.99
177,2022-06-26,587,19661.350000000002,19668.62
178,2022-06-27,429,14592.699999999999,14409.7
179,2022-06-28,440,13532.54,13452.789999999999
180,2022-06-29,457,14399.600000000004,14357.39
181,2022-06-30,460,14529.509999999998,14429.810000000003
182,2022-07-01,550,17094.890000000003,17151.360000000004
183,2022-07-02,486,14349.25,14450.679999999998
184,2022-07-03,432,12682.51,12520.699999999999
185,2022-07-04,403,11029.720000000001,10963.369999999999
186,2022-07-05,433,13187.140000000001,13151.950000000003
187,2022-07-06,421,12634.32,12559.31
188,2022-07-07,447,12836.880000000001,12767.770000000004
189,2022-07-08,496,16480.0,16390.589999999997
190,2022-07-09,452,13097.240000000002,12991.080000000002
191,2022-07-10,515,16820.379999999997,16493.52
192,2022-07-11,425,13109.03,12973.169999999998
193,2022-07-12,414,11955.661599999998,11885.447599999998
194,2022-07-13,391,10686.01,10604.25
195,2022-07-14,395,11364.849999999999,11153.930000000002
196,2022-07-15,446,15420.990000000003,15122.89
197,2022-07-16,435,13516.460000000005,13377.710000000001
198,2022-07-17,595,19725.599999999995,19490.990000000005
199,2022-07-18,465,14292.07,14113.260000000002
200,2022-07-19,388,11461.89,11270.140000000001
201,2022-07-20,407,12117.09,12006.49
202,2022-07-21,422,13083.71,12840.130000000001
203,2022-07-22,449,13598.920000000002,13353.05
204,2022-07-23,432,13777.939999999999,13594.599999999997
205,2022-07-24,527,16419.269999999997,16210.359999999997
206,2022-07-25,428,12635.19,12428.200000000004
207,2022-07-26,446,14023.85,13791.310000000003
208,2022-07-27,402,11038.340000000002,10879.700000000004
209,2022-07-28,424,14455.699999999995,14270.710000000001
210,2022-07-29,485,15685.670000000002,15458.989999999998
211,2022-07-30,430,12680.640000000003,12514.260000000006
212,2022-07-31,559,18528.579999999994,18281.090000000004
213,2022-08-01,496,16135.410000000002,15950.659999999996
214,2022-08-02,413,11940.8,11719.600000000002
215,2022-08-03,393,11577.362499999997,11365.2425
216,2022-08-04,445,12335.76,12181.630000000001
217,2022-08-05,469,14859.449999999999,14602.769999999997
218,2022-08-06,491,14909.560000000001,14640.910000000002
219,2022-08-07,498,16196.930000000004,15785.200000000004
220,2022-08-08,447,12914.9309,12573.614899999997
221,2022-08-09,404,12267.48,12058.970000000007
222,2022-08-10,396,11774.669999999996,11432.809999999998
223,2022-08-11,389,11574.37,11326.679999999995
224,2022-08-12,421,12209.520000000002,11995.37
225,2022-08-13,404,12467.509999999998,12230.920000000004
226,2022-08-14,572,20174.15,19754.319999999996
227,2022-08-15,436,14733.359999999999,14302.830000000005
228,2022-08-16,395,12118.250000000002,11839.679999999997
229,2022-08-17,389,12697.579999999993,12311.520000000002
230,2022-08-18,378,10819.08,10606.400000000003
231,2022-08-19,402,12725.460000000003,12351.889999999998
232,2022-08-20,447,15687.519999999999,15268.979999999996
233,2022-08-21,629,19055.610000000004,18643.180000000004
234,2022-08-22,436,13382.520000000002,13094.090000000002
235,2022-08-23,396,10720.05,10555.909999999996
236,2022-08-24,409,12400.209999999997,12201.569999999996
237,2022-08-25,384,12222.279999999995,11879.77
238,2022-08-26,454,14849.9,14431.139999999998
239,2022-08-27,508,17513.29,17039.380000000005
240,2022-08-28,620,20942.30999999999,20617.540000000005
241,2022-08-29,458,15877.34,15527.650000000001
242,2022-08-30,373,12714.81,12498.9
